"category";"shop_sku";"name [fr]";"attribut_marque";"description [fr]";"ean";"media";"media1";"media2";"media3";"couleurboutique";"attribut_materiautoilescadresetchassis";"line_number";"errors"
"couverturepiscine";"117542";"Bâche hiver pour piscine Aruba - 580 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Aruba octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 580 gr/m².Dimensions de la bâche :  5.70 x 3.70 m.Dimensions de la piscine :  5.00 x 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 10 kg.";"3700746487918";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"500";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118105";"Bâche hiver pour piscine Tobago - 580 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Tobago octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 580 gr/m².Dimensions de la piscine :  6.20 X 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 10 kg.";"3700746487949";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"501";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118106";"Bâche à bulles pour Tobago - 180 µ - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Tobago octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 180 µ.Dimensions de la bâche :  5.67 x 2.47 m.Colisage :  1 colis : - 1 x 1 x 1 m, 4 kg.";"3700746487956";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"502";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118107";"Bâche à bulles pour Tobago - 400 µ - Bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Tobago octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  5.67 x 2.47 m.Colisage :  1 colis : - 1 x 1 x 1 m, 5 kg.";"3700746487963";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"503";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118355";"Bâche hiver pour piscine Caimans - 580 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Caimans octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 580 gr/m².Dimensions de la bâche :  4.30 X 3.20 m.Dimensions de la piscine :  4.10 X 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 9 kg.";"3700746487772";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"505";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118365";"Bâche à bulles pour Caimans - 400 µ - Bordée 1 coté - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Caimans octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 400 µ.Dimensions de la bâche :  3.57 x 2.47 m.Colisage :  1 colis : - 1 x 1 x 1 m, 4 kg.";"3700746487819";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"507";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118367";"Bâche à bulles pour Caimans - 180 µ - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche à bulles bleu pour Panama octogonale - Préserve la propreté de votre bassin - Absorbe l'énergie solaire - Rétention de la chaleur accumulée - Élimine l'évaporation d'eau - Évite la photosynthèse - Réduit l'utilisation des produits chimiques - Maintient la température la nuit.Matière :  Polyéthylène 180 µ.Dimensions de la bâche :  5.67 x 3.57 m.Colisage :  1 colis : - 1 x 1 x 1 m, 5 kg.";"3700746487826";"https://i.habitatetjardin.com/files/produits/641/bache_ete_max.jpg";"";"";"";"couleurrootbleu";"";"508";"MCM-05000|The 'media' attribute is required."
"couverturepiscine";"118369";"Bâche hiver pour piscine Caimans - 580 gr/m² - Bleu";"marquehabitatetjardin";"Descriptif :  Bâche hiver pour piscine Caimans octogonale allongée - illet tous les mètres - Bleue dessus - Livrée avec crochets plastiques hors sol - Protection de votre bassin contre salissures et feuilles - très résistante - légère et facile à mettre en place.Matière :  Polyéthylène tissé 580 gr/m².Dimensions de la bâche :  4.30 x 3.20 m.Dimensions de la piscine :  4.10 x 3.00 m.Colisage :  1 colis : - 1 x 1 x 1 m, 9 kg.";"3700746487833";"https://i.habitatetjardin.com/files/produits/641/bache_hiver_max.jpg";"";"";"";"couleurrootbleu";"";"509";"MCM-05000|The 'media' attribute is required."
"accessoiresdejardin";"19719";"Pompe Siphon";"marquehabitatetjardin";"DESCRIPTIF :  Usages variés : vidange d'aquarium, automobile, poêle à pétrole, plantes vertes, bricolage - Eau, vin, huile, produits d'entretien, produits chimiques, carburant MODE D'EMPLOI :  Presser le bulbe pour pomper ou siphonner . Pour stopper le siphon, devisser le bouchon Caracteristiques techniquesPoids :  1 kg.Colisage :  1 colis : - 1 x 1 x 1 m, 1 kg.";"3700746438040";"https://i.habitatetjardin.com/files/produits/1/1_syphon_vue0.jpg";"";"";"";"";"";"510";"MCM-05000|The 'media' attribute is required."
"entretienpiscine";"27531";"Traitement d'eau - Diffuseur de chlore flottant";"marquebestway";"DESCRIPTIF :    Diffuseur de chlore flottant pour piscine   Diffuse des tablettes de chlore et de brome   Cadran de contrôle pour ajuster la diffusion CARACTERISTIQUES TECHNIQUES :    Diamètre : 16,5 cm    Descriptif :  Diamètre de diffusion : 16.5 cm - Type : manuel - Contenance : chlore.Colisage :  1 colis : - 0,16 x 0,16 x 0,17 m, 3 kg.";"6942138918373";"https://i.habitatetjardin.com/files/produits/1/1_DCF_vue0.jpg";"";"";"";"";"";"512";"MCM-05000|The 'media' attribute is required."
